origin_country,q6_b,destination_country,origin_code,origin_region,destination_code,destination_region
Tanzania,No,China,TZA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Sweden,No,United Kingdom,SWE,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,Malaysia,NGA,Sub-Saharan Africa (WB),MYS,East Asia and Pacific (WB)
Russia,No,Germany,RUS,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
South Korea,No,United States,KOR,East Asia and Pacific (WB),USA,North America (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Ghana,No,United States,GHA,Sub-Saharan Africa (WB),USA,North America (WB)
Spain,No,Australia,ESP,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Myanmar,No,Thailand,MMR,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
Nigeria,No,China,NGA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
China,No,Singapore,CHN,East Asia and Pacific (WB),SGP,East Asia and Pacific (WB)
Turkey,No,Germany,TUR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Ecuador,No,United States,ECU,Latin America and Caribbean (WB),USA,North America (WB)
Brazil,No,Belgium,BRA,Latin America and Caribbean (WB),BEL,Europe and Central Asia (WB)
Mexico,No,United States,MEX,Latin America and Caribbean (WB),USA,North America (WB)
Chile,No,Germany,CHL,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Algeria,No,France,DZA,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FRA,Europe and Central Asia (WB)
Indonesia,No,Taiwan,IDN,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
Colombia,No,Spain,COL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Iraq,No,United States,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Iran,No,Italy,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
India,No,Australia,IND,South Asia (WB),AUS,East Asia and Pacific (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Vietnam,No,Switzerland,VNM,East Asia and Pacific (WB),CHE,Europe and Central Asia (WB)
Italy,No,Austria,ITA,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Kenya,No,Germany,KEN,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Bangladesh,No,Italy,BGD,South Asia (WB),ITA,Europe and Central Asia (WB)
Thailand,No,Japan,THA,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
India,No,France,IND,South Asia (WB),FRA,Europe and Central Asia (WB)
Brazil,No,Germany,BRA,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Pakistan,No,Poland,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",POL,Europe and Central Asia (WB)
South Africa,No,Belgium,ZAF,Sub-Saharan Africa (WB),BEL,Europe and Central Asia (WB)
Indonesia,No,Hungary,IDN,East Asia and Pacific (WB),HUN,Europe and Central Asia (WB)
Germany,No,South Africa,DEU,Europe and Central Asia (WB),ZAF,Sub-Saharan Africa (WB)
India,No,Sweden,IND,South Asia (WB),SWE,Europe and Central Asia (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,China,NGA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
Zambia,No,South Africa,ZMB,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Italy,No,Finland,ITA,Europe and Central Asia (WB),FIN,Europe and Central Asia (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
China,No,Sweden,CHN,East Asia and Pacific (WB),SWE,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Australia,No,United Kingdom,AUS,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
France,No,Netherlands,FRA,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Nigeria,No,Italy,NGA,Sub-Saharan Africa (WB),ITA,Europe and Central Asia (WB)
Turkey,No,Italy,TUR,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Brazil,No,Portugal,BRA,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Mexico,No,Spain,MEX,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Germany,No,United Kingdom,DEU,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ghana,No,United States,GHA,Sub-Saharan Africa (WB),USA,North America (WB)
Mozambique,No,Portugal,MOZ,Sub-Saharan Africa (WB),PRT,Europe and Central Asia (WB)
Indonesia,No,Japan,IDN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Ethiopia,No,Germany,ETH,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Malawi,No,China,MWI,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Senegal,No,Switzerland,SEN,Sub-Saharan Africa (WB),CHE,Europe and Central Asia (WB)
Algeria,No,United States,DZA,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Bangladesh,No,Italy,BGD,South Asia (WB),ITA,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
France,No,Belgium,FRA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Paraguay,No,United States,PRY,Latin America and Caribbean (WB),USA,North America (WB)
Switzerland,No,Germany,CHE,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Malawi,No,China,MWI,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Italy,No,Belgium,ITA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
India,No,China,IND,South Asia (WB),CHN,East Asia and Pacific (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
East Timor,No,Indonesia,TLS,East Asia and Pacific (WB),IDN,East Asia and Pacific (WB)
Syria,No,Hungary,SYR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",HUN,Europe and Central Asia (WB)
Italy,No,Australia,ITA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Tanzania,No,Germany,TZA,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Philippines,No,Thailand,PHL,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
Poland,No,United States,POL,Europe and Central Asia (WB),USA,North America (WB)
Ethiopia,No,Japan,ETH,Sub-Saharan Africa (WB),JPN,East Asia and Pacific (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Mexico,No,Canada,MEX,Latin America and Caribbean (WB),CAN,North America (WB)
Nepal,No,United Kingdom,NPL,South Asia (WB),GBR,Europe and Central Asia (WB)
Slovakia,No,Czechia,SVK,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Iraq,No,Iran,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Portugal,No,Estonia,PRT,Europe and Central Asia (WB),EST,Europe and Central Asia (WB)
United States,No,Switzerland,USA,North America (WB),CHE,Europe and Central Asia (WB)
Canada,No,United States,CAN,North America (WB),USA,North America (WB)
United States,No,Netherlands,USA,North America (WB),NLD,Europe and Central Asia (WB)
Guatemala,No,Germany,GTM,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Thailand,No,Japan,THA,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Italy,No,United Kingdom,ITA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Turkey,No,Germany,TUR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,Hungary,NGA,Sub-Saharan Africa (WB),HUN,Europe and Central Asia (WB)
Germany,No,Sweden,DEU,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Bangladesh,No,United States,BGD,South Asia (WB),USA,North America (WB)
Brazil,No,United States,BRA,Latin America and Caribbean (WB),USA,North America (WB)
Ireland,No,United Kingdom,IRL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Nepal,No,Norway,NPL,South Asia (WB),NOR,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Kenya,No,Germany,KEN,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Portugal,No,Spain,PRT,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Malaysia,No,Netherlands,MYS,East Asia and Pacific (WB),NLD,Europe and Central Asia (WB)
Pakistan,No,United Kingdom,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GBR,Europe and Central Asia (WB)
Ukraine,No,Germany,UKR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Vietnam,No,United Kingdom,VNM,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
India,No,Canada,IND,South Asia (WB),CAN,North America (WB)
Spain,No,Ireland,ESP,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
India,No,Sweden,IND,South Asia (WB),SWE,Europe and Central Asia (WB)
Ethiopia,No,Ireland,ETH,Sub-Saharan Africa (WB),IRL,Europe and Central Asia (WB)
Iran,No,Czechia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CZE,Europe and Central Asia (WB)
Australia,No,United Kingdom,AUS,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Turkey,No,Austria,TUR,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Spain,No,Spain,ESP,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Iran,No,Australia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Bangladesh,No,United States,BGD,South Asia (WB),USA,North America (WB)
Tanzania,No,Norway,TZA,Sub-Saharan Africa (WB),NOR,Europe and Central Asia (WB)
Syria,No,Spain,SYR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ESP,Europe and Central Asia (WB)
Mexico,No,Germany,MEX,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
South Korea,No,United States,KOR,East Asia and Pacific (WB),USA,North America (WB)
Austria,No,United States,AUT,Europe and Central Asia (WB),USA,North America (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Ecuador,No,Hungary,ECU,Latin America and Caribbean (WB),HUN,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Argentina,No,Argentina,ARG,Latin America and Caribbean (WB),ARG,Latin America and Caribbean (WB)
Slovakia,No,Czechia,SVK,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Kenya,No,South Korea,KEN,Sub-Saharan Africa (WB),KOR,East Asia and Pacific (WB)
Germany,No,Austria,DEU,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Vietnam,No,United States,VNM,East Asia and Pacific (WB),USA,North America (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
Egypt,No,Lebanon,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",LBN,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Pakistan,No,Brazil,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",BRA,Latin America and Caribbean (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Nepal,No,Norway,NPL,South Asia (WB),NOR,Europe and Central Asia (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Gambia,No,China,GMB,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Ghana,No,Japan,GHA,Sub-Saharan Africa (WB),JPN,East Asia and Pacific (WB)
Ghana,No,South Africa,GHA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Germany,No,Australia,DEU,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Italy,No,Austria,ITA,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Egypt,No,Australia,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Italy,No,Netherlands,ITA,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Palestine,No,Malaysia,PSE,"Middle East, North Africa, Afghanistan and Pakistan (WB)",MYS,East Asia and Pacific (WB)
Venezuela,No,Mexico,VEN,Latin America and Caribbean (WB),MEX,Latin America and Caribbean (WB)
Turkey,No,Germany,TUR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
South Korea,No,United States,KOR,East Asia and Pacific (WB),USA,North America (WB)
India,No,United Arab Emirates,IND,South Asia (WB),ARE,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Russia,No,Germany,RUS,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Croatia,No,France,HRV,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Italy,No,United Kingdom,ITA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Bolivia,No,Japan,BOL,Latin America and Caribbean (WB),JPN,East Asia and Pacific (WB)
United States,No,Australia,USA,North America (WB),AUS,East Asia and Pacific (WB)
Vietnam,No,Thailand,VNM,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
Spain,No,Denmark,ESP,Europe and Central Asia (WB),DNK,Europe and Central Asia (WB)
New Zealand,No,Australia,NZL,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
China,No,Ireland,CHN,East Asia and Pacific (WB),IRL,Europe and Central Asia (WB)
Zambia,No,United Kingdom,ZMB,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
United States,No,Austria,USA,North America (WB),AUT,Europe and Central Asia (WB)
Brazil,No,Portugal,BRA,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
Colombia,No,Mexico,COL,Latin America and Caribbean (WB),MEX,Latin America and Caribbean (WB)
China,No,New Zealand,CHN,East Asia and Pacific (WB),NZL,East Asia and Pacific (WB)
Brazil,No,Austria,BRA,Latin America and Caribbean (WB),AUT,Europe and Central Asia (WB)
Philippines,No,United States,PHL,East Asia and Pacific (WB),USA,North America (WB)
Chile,No,Spain,CHL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Portugal,No,Denmark,PRT,Europe and Central Asia (WB),DNK,Europe and Central Asia (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Uganda,No,South Africa,UGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Serbia,No,Switzerland,SRB,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Sierra Leone,No,India,SLE,Sub-Saharan Africa (WB),IND,South Asia (WB)
Portugal,No,Switzerland,PRT,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Nigeria,No,Turkey,NGA,Sub-Saharan Africa (WB),TUR,Europe and Central Asia (WB)
Finland,No,United Kingdom,FIN,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
India,No,Taiwan,IND,South Asia (WB),TWN,East Asia and Pacific (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Cameroon,No,United States,CMR,Sub-Saharan Africa (WB),USA,North America (WB)
United Kingdom,No,France,GBR,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
South Africa,No,United Kingdom,ZAF,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Netherlands,No,Switzerland,NLD,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
India,No,Japan,IND,South Asia (WB),JPN,East Asia and Pacific (WB)
Malawi,No,China,MWI,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Pakistan,No,Germany,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
New Zealand,No,Australia,NZL,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Serbia,No,France,SRB,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Ukraine,No,Poland,UKR,Europe and Central Asia (WB),POL,Europe and Central Asia (WB)
Dominican Republic,No,Brazil,DOM,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
Germany,No,Australia,DEU,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Italy,No,France,ITA,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Italy,No,Netherlands,ITA,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Netherlands,No,Australia,NLD,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Portugal,No,Spain,PRT,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Austria,No,Spain,AUT,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Slovakia,No,Czechia,SVK,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Russia,No,France,RUS,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Greece,No,Germany,GRC,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Australia,No,United Kingdom,AUS,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
China,No,China,CHN,East Asia and Pacific (WB),CHN,East Asia and Pacific (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Italy,No,Austria,ITA,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
India,No,Belgium,IND,South Asia (WB),BEL,Europe and Central Asia (WB)
Brazil,No,United States,BRA,Latin America and Caribbean (WB),USA,North America (WB)
Hungary,No,Finland,HUN,Europe and Central Asia (WB),FIN,Europe and Central Asia (WB)
Germany,No,Denmark,DEU,Europe and Central Asia (WB),DNK,Europe and Central Asia (WB)
Spain,No,United Kingdom,ESP,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ethiopia,No,Australia,ETH,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
Canada,No,United Kingdom,CAN,North America (WB),GBR,Europe and Central Asia (WB)
Nepal,No,India,NPL,South Asia (WB),IND,South Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Russia,No,Netherlands,RUS,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Colombia,No,Denmark,COL,Latin America and Caribbean (WB),DNK,Europe and Central Asia (WB)
Rwanda,No,Canada,RWA,Sub-Saharan Africa (WB),CAN,North America (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
India,No,Austria,IND,South Asia (WB),AUT,Europe and Central Asia (WB)
Mongolia,No,Japan,MNG,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Australia,No,Australia,AUS,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Turkey,No,Germany,TUR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Thailand,No,Australia,THA,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Italy,No,Sweden,ITA,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
France,No,United States,FRA,Europe and Central Asia (WB),USA,North America (WB)
Bangladesh,No,South Korea,BGD,South Asia (WB),KOR,East Asia and Pacific (WB)
China,No,Singapore,CHN,East Asia and Pacific (WB),SGP,East Asia and Pacific (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Nigeria,No,South Korea,NGA,Sub-Saharan Africa (WB),KOR,East Asia and Pacific (WB)
Luxembourg,No,Germany,LUX,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
India,No,Netherlands,IND,South Asia (WB),NLD,Europe and Central Asia (WB)
France,No,Spain,FRA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Philippines,No,Netherlands,PHL,East Asia and Pacific (WB),NLD,Europe and Central Asia (WB)
Poland,No,Switzerland,POL,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
United Kingdom,No,United States,GBR,Europe and Central Asia (WB),USA,North America (WB)
Rwanda,No,Poland,RWA,Sub-Saharan Africa (WB),POL,Europe and Central Asia (WB)
Bangladesh,No,South Korea,BGD,South Asia (WB),KOR,East Asia and Pacific (WB)
Indonesia,No,India,IDN,East Asia and Pacific (WB),IND,South Asia (WB)
Mexico,No,Canada,MEX,Latin America and Caribbean (WB),CAN,North America (WB)
Netherlands,No,Sweden,NLD,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Belgium,No,Switzerland,BEL,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Bangladesh,No,Australia,BGD,South Asia (WB),AUS,East Asia and Pacific (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
China,No,Malaysia,CHN,East Asia and Pacific (WB),MYS,East Asia and Pacific (WB)
Spain,No,Belgium,ESP,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Uganda,No,Kenya,UGA,Sub-Saharan Africa (WB),KEN,Sub-Saharan Africa (WB)
Iran,No,Poland,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",POL,Europe and Central Asia (WB)
Mozambique,No,Portugal,MOZ,Sub-Saharan Africa (WB),PRT,Europe and Central Asia (WB)
Kazakhstan,No,Germany,KAZ,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Germany,No,Norway,DEU,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
China,No,China,CHN,East Asia and Pacific (WB),CHN,East Asia and Pacific (WB)
Kenya,No,Ireland,KEN,Sub-Saharan Africa (WB),IRL,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,Thailand,NGA,Sub-Saharan Africa (WB),THA,East Asia and Pacific (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
Uzbekistan,No,Russia,UZB,Europe and Central Asia (WB),RUS,Europe and Central Asia (WB)
Malaysia,No,Germany,MYS,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Slovenia,No,Germany,SVN,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Canada,No,Germany,CAN,North America (WB),DEU,Europe and Central Asia (WB)
South Korea,No,Canada,KOR,East Asia and Pacific (WB),CAN,North America (WB)
Iran,No,Finland,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FIN,Europe and Central Asia (WB)
Netherlands,No,United Kingdom,NLD,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Malaysia,No,Singapore,MYS,East Asia and Pacific (WB),SGP,East Asia and Pacific (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Spain,No,Czechia,ESP,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Italy,No,France,ITA,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Peru,No,United States,PER,Latin America and Caribbean (WB),USA,North America (WB)
Ethiopia,No,Portugal,ETH,Sub-Saharan Africa (WB),PRT,Europe and Central Asia (WB)
France,No,Australia,FRA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Czechia,No,United Kingdom,CZE,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Hungary,No,United States,HUN,Europe and Central Asia (WB),USA,North America (WB)
Germany,No,France,DEU,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Nigeria,No,Tanzania,NGA,Sub-Saharan Africa (WB),TZA,Sub-Saharan Africa (WB)
China,No,China,CHN,East Asia and Pacific (WB),CHN,East Asia and Pacific (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
Iran,No,Germany,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
Italy,No,Ireland,ITA,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
Peru,No,United States,PER,Latin America and Caribbean (WB),USA,North America (WB)
Indonesia,No,Malaysia,IDN,East Asia and Pacific (WB),MYS,East Asia and Pacific (WB)
United States,No,Japan,USA,North America (WB),JPN,East Asia and Pacific (WB)
Ethiopia,No,Australia,ETH,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
India,No,Poland,IND,South Asia (WB),POL,Europe and Central Asia (WB)
Sweden,No,Switzerland,SWE,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
France,No,Germany,FRA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Poland,No,Germany,POL,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
India,No,Switzerland,IND,South Asia (WB),CHE,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Cameroon,No,Germany,CMR,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Ethiopia,No,Germany,ETH,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
France,No,Turkey,FRA,Europe and Central Asia (WB),TUR,Europe and Central Asia (WB)
Spain,No,Germany,ESP,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Italy,No,Belgium,ITA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Argentina,No,Brazil,ARG,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
